p,w,s,base,best,gain
0.50,012,007,0.995722,0.644770,0.647540
0.05,013,007,9.629652,4.523572,0.469754
0.10,013,007,4.885451,1.702119,0.348406
0.15,013,007,3.286433,1.101022,0.335020
0.20,013,007,2.473705,0.894918,0.361772
0.25,013,007,1.981247,0.792593,0.400048
0.30,013,007,1.654606,0.736431,0.445079
0.35,013,007,1.419921,0.697852,0.491473
0.40,013,007,1.245159,0.672274,0.539910
0.45,013,006,1.103191,0.651754,0.590790
0.50,013,006,0.995722,0.633851,0.636574
0.05,014,007,9.629652,4.078729,0.423559
0.10,014,008,4.885451,1.630481,0.333742
0.15,014,005,3.286433,1.072884,0.326458
